Performance Test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client A,,,,Client B,,,,Server,,,,,,,,Server,,,,,,,,,,,,,,,,,,,,,,,
No Synchronisation,,,,No Synchronisation,,,,No Synchronisation,,,,Memory Profiling,,,,"Memory Profiling, No Synchronisation",,,,,,,,,,,,,,,,,,,,,,,
Round,,FPS,,Round,,FPS,,Round,,FPS,,Round,Memory Usage,GC Time,,," 108,689,927,744 bytes allocated in the heap",," 110,998,420,816 bytes allocated in the heap",," 111,406,259,120 bytes allocated in the heap",," 110,357,780,944 bytes allocated in the heap",," 107,814,435,960 bytes allocated in the heap",," 113,187,357,704 bytes allocated in the heap",," 111,073,107,360 bytes allocated in the heap",," 111,912,653,784 bytes allocated in the heap",," 112,123,615,504 bytes allocated in the heap",,,,,,"105,270,088,240 bytes allocated in the heap"
1,,59.0564639596671,,1,,61.7119510761052,,1,,59.3516191405034,,1,4,3.2,,,"     533,508,328 bytes copied during GC",,"     559,459,328 bytes copied during GC",,"     559,920,640 bytes copied during GC",,"     556,837,128 bytes copied during GC",,"     551,727,160 bytes copied during GC",,"     563,034,344 bytes copied during GC",,"     559,339,776 bytes copied during GC",,"     558,815,608 bytes copied during GC",,"     563,812,544 bytes copied during GC",,,,,,"     547,162,896 bytes copied during GC"
2,,58.6582345207527,,2,,61.6697465193144,,2,,58.5987172230278,,2,4,3.2,,,"         751,264 bytes maximum residency (435 sample(s))",,"         762,808 bytes maximum residency (456 sample(s))",,"         779,824 bytes maximum residency (452 sample(s))",,"         774,560 bytes maximum residency (451 sample(s))",,"         794,416 bytes maximum residency (446 sample(s))",,"         780,000 bytes maximum residency (452 sample(s))",,"         763,672 bytes maximum residency (456 sample(s))",,"         789,680 bytes maximum residency (438 sample(s))",,"         787,496 bytes maximum residency (463 sample(s))",,,,,,"         801,528 bytes maximum residency (451 sample(s))"
3,,58.6630698084608,,3,,61.6977379161513,,3,,58.6105486037362,,3,4,3.2,,,"          30,840 bytes maximum slop",,"          31,008 bytes maximum slop",,"          29,464 bytes maximum slop",,"          31,032 bytes maximum slop",,"          30,968 bytes maximum slop",,"          32,720 bytes maximum slop",,"          30,560 bytes maximum slop",,"          31,088 bytes maximum slop",,"          30,840 bytes maximum slop",,,,,,"          29,704 bytes maximum slop"
4,,60.0871992768581,,4,,59.9125082983114,,4,,58.5638216017772,,4,4,3.2,,,               4 MB total memory in use (0 MB lost due to fragmentation),,               4 MB total memory in use (0 MB lost due to fragmentation),,               4 MB total memory in use (0 MB lost due to fragmentation),,               4 MB total memory in use (0 MB lost due to fragmentation),,               4 MB total memory in use (0 MB lost due to fragmentation),,               4 MB total memory in use (0 MB lost due to fragmentation),,               4 MB total memory in use (0 MB lost due to fragmentation),,               4 MB total memory in use (0 MB lost due to fragmentation),,               4 MB total memory in use (0 MB lost due to fragmentation),,,,,,               4 MB total memory in use (0 MB lost due to fragmentation)
5,,60.1463330800341,,5,,57.677344662349,,5,,59.1730507569537,,5,4,3.2,,,,,,,,,,,,,,,,,,,,,,,,,
6,,60.1183352690484,,6,,60.0058747998139,,6,,59.3074595603778,,6,4,3.2,,,                                     Tot time (elapsed)  Avg pause  Max pause,,                                     Tot time (elapsed)  Avg pause  Max pause,,                                     Tot time (elapsed)  Avg pause  Max pause,,                                     Tot time (elapsed)  Avg pause  Max pause,,                                     Tot time (elapsed)  Avg pause  Max pause,,                                     Tot time (elapsed)  Avg pause  Max pause,,                                     Tot time (elapsed)  Avg pause  Max pause,,                                     Tot time (elapsed)  Avg pause  Max pause,,                                     Tot time (elapsed)  Avg pause  Max pause,,,,,,                                     Tot time (elapsed)  Avg pause  Max pause
7,,60.1230677228027,,7,,59.9589864493658,,7,,59.4257799090323,,7,4,3.3,,,"  Gen  0     105844 colls,     0 par    1.123s   1.229s     0.0000s    0.1021s",,"  Gen  0     108076 colls,     0 par    1.134s   1.146s     0.0000s    0.0023s",,"  Gen  0     108479 colls,     0 par    1.115s   1.115s     0.0000s    0.0021s",,"  Gen  0     107455 colls,     0 par    1.127s   1.121s     0.0000s    0.0024s",,"  Gen  0     104973 colls,     0 par    1.110s   1.115s     0.0000s    0.0025s",,"  Gen  0     110218 colls,     0 par    1.145s   1.141s     0.0000s    0.0021s",,"  Gen  0     108151 colls,     0 par    1.139s   1.136s     0.0000s    0.0020s",,"  Gen  0     108991 colls,     0 par    1.121s   1.126s     0.0000s    0.0019s",,"  Gen  0     109171 colls,     0 par    1.121s   1.129s     0.0000s    0.0024s",,,,,,"  Gen  0     102481 colls,     0 par    1.132s   1.140s     0.0000s    0.0050s"
8,,60.1302761384361,,8,,59.8979769550938,,8,,59.1517127949752,,8,4,3.2,,,"  Gen  1       435 colls,     0 par    0.010s   0.010s     0.0000s    0.0008s",,"  Gen  1       456 colls,     0 par    0.013s   0.013s     0.0000s    0.0009s",,"  Gen  1       452 colls,     0 par    0.012s   0.012s     0.0000s    0.0007s",,"  Gen  1       451 colls,     0 par    0.014s   0.015s     0.0000s    0.0010s",,"  Gen  1       446 colls,     0 par    0.013s   0.013s     0.0000s    0.0008s",,"  Gen  1       452 colls,     0 par    0.015s   0.015s     0.0000s    0.0008s",,"  Gen  1       456 colls,     0 par    0.013s   0.013s     0.0000s    0.0008s",,"  Gen  1       438 colls,     0 par    0.013s   0.013s     0.0000s    0.0009s",,"  Gen  1       463 colls,     0 par    0.013s   0.013s     0.0000s    0.0008s",,,,,,"  Gen  1       451 colls,     0 par    0.013s   0.014s     0.0000s    0.0006s"
9,,60.1212337354947,,9,,59.940672941947,,9,,58.5056628469554,,9,4,3.2,,,,,,,,,,,,,,,,,,,,,,,,,
10,,60.1469908751625,,10,,60.0846270193956,,10,,58.2081134478544,,10,4,3.4,,,  INIT    time    0.000s  (  0.000s elapsed),,  INIT    time    0.000s  (  0.000s elapsed),,  INIT    time    0.000s  (  0.001s elapsed),,  INIT    time    0.000s  (  0.001s elapsed),,  INIT    time    0.000s  (  0.003s elapsed),,  INIT    time    0.000s  (  0.000s elapsed),,  INIT    time    0.000s  (  0.000s elapsed),,  INIT    time    0.000s  (  0.000s elapsed),,  INIT    time    0.000s  (  0.001s elapsed),,,,,,  INIT    time    0.000s  (  0.001s elapsed)
